"Title","area of study","has research problem","lod (µm)","method of nanomaterial synthesis","reference electrode","response time (s)","type of biosensor","year","zno form"
"Enzymatic glucose biosensor based on ZnO nanorod array grown by hydrothermal decomposition","Nanomaterials and Sensors","Development of biosensors based on nanomaterials ","10","hydrothermal","Au","<5","Glucose","2006","ZnO nanorod array"
"Zinc oxide nanocomb biosensor for glucose detection","Nanomaterials and Sensors","Development of biosensors based on nanomaterials ","20","CVD","Au","<10","Glucose","2006","Comb-like ZnO"
"ZnO Nanotube Arrays as Biosensors for Glucose","Nanomaterials and Sensors","Development of biosensors based on nanomaterials ","10","hydrothermal/ chemical","ITO","<6","Glucose","2009","ZnO nanotube array"
"Carbon-decorated ZnO nanowire array: A novel platform for direct electrochemistry of enzymes and biosensing applications","Nanomaterials and Sensors","Development of biosensors based on nanomaterials ","1","hydrothermal","Ti","4","Enzymes ","2009","ZnO/C nanowire array"
"ZnO nanorods/Au hybrid nanocomposites for glucose biosensor","Nanomaterials  and Sensors","Development of biosensors based on nanomaterials ","0.01","hydrothermal","GCE","<5","Glucose","2010","ZnO/Au nanorods"
"An intracellular glucose biosensor based on nanoflake ZnO","Nanomaterials and Sensors","Development of biosensors based on nanomaterials ","0.5","hydrothermal","Glass capillary","<4","Glucose","2010","ZnO nanoflakes"
"The application of complex multiple forklike ZnO nanostructures to rapid and ultrahigh sensitive hydrogen peroxide biosensors","Nanomaterials and Sensors","Development of biosensors based on nanomaterials ","0.3","Annealing","GCE","3","Hydrogen Peroxide","2010","forklike ZnO"
"ZnO/Cu Nanocomposite: A Platform for Direct Electrochemistry of Enzymes and Biosensing Applications","Nanomaterials and Sensors","Development of biosensors based on nanomaterials ","40","hydrothermal","ITO","<6","Enzymes","2012","ZnO/Cu array matrix"
"An amperometric glucose biosensor based on the immobilization of glucose oxidase on the platinum electrode modified with NiO doped ZnO nanorods","Nanomaterials and Sensors","Development of biosensors based on nanomaterials ","2.5","hydrothermal","Pt","<5","Glucose","2012","ZnO/NiO nanorods"
"A novel amperometric biosensor based on ZnO nanoparticles-modified carbon paste electrode for determination of glucose in human serum","Nanomaterials and Sensors","Development of biosensors based on nanomaterials ","4","CVD","Au","6","Glucose","2013","tetrapod like ZnO"
