"Title","has energy sources","hasscenario/scenario/has name","hasscenario/scenario/hasgoal/goal/has description","hasscenario/scenario/hasgoal/goal/has value","hasscenario/scenario/hasgoal/goal/has unit","hasscenario/scenario/hasgoal/goal/has type","hasscenario/scenario/hasgoal/goal/has time frame","has energy sources/bioenergy/has electricity generation","has energy sources/bioenergy/has electricity generation/electricity generation/has value","has energy sources/bioenergy/has installed capacity","has energy sources/bioenergy/has installed capacity/installed capacity/has value","has energy sources/geothermics/has electricity generation","has energy sources/geothermics/has electricity generation/electricity generation/has value","has energy sources/geothermics/has installed capacity","has energy sources/geothermics/has installed capacity/installed capacity/has value","has energy sources/hydropower/has electricity generation","has energy sources/hydropower/has electricity generation/electricity generation/has value","has energy sources/hydropower/has installed capacity","has energy sources/hydropower/has installed capacity/installed capacity/has value","has energy sources/import/has electricity generation","has energy sources/import/has electricity generation/electricity generation/has value","has energy sources/net import/has electricity generation","has energy sources/net import/has electricity generation/electricity generation/has unit","has energy sources/net import/has electricity generation/electricity generation/has value","has energy sources/offshore wind power/has electricity generation","has energy sources/offshore wind power/has electricity generation/electricity generation/has value","has energy sources/offshore wind power/has installed capacity","has energy sources/offshore wind power/has installed capacity/installed capacity/has value","has energy sources/onshore wind power/has electricity generation","has energy sources/onshore wind power/has electricity generation/electricity generation/has value","has energy sources/onshore wind power/has installed capacity","has energy sources/onshore wind power/has installed capacity/installed capacity/has value","has energy sources/others/has electricity generation","has energy sources/others/has electricity generation/electricity generation/has value","has energy sources/others/has installed capacity","has energy sources/others/has installed capacity/installed capacity/has value","has energy sources/photovoltaics/has electricity generation","has energy sources/photovoltaics/has electricity generation/electricity generation/has value","has energy sources/photovoltaics/has installed capacity","has energy sources/photovoltaics/has installed capacity/installed capacity/has value","has energy sources/all sources/has electricity generation","has energy sources/all sources/has electricity generation/electricity generation/has value","has energy sources/all sources/has electricity generation/electricity generation/has unit","has energy sources/all sources/has installed capacity","has energy sources/all sources/has installed capacity/installed capacity/has unit","has energy sources/all sources/has installed capacity/installed capacity/has value","has energy sources/all sources/has description"
"Klimaneutrales Deutschland","all sources, net import, import, others, geothermics, hydropower, bioenergy, offshore wind power, onshore wind power, photovoltaics","Scenario","100% CO2 reduction until 2050","100","percent","CO2 reduction","2050","Electricity generation","4","Installed capacity","1","Electricity generation","0","Installed capacity","0","Electricity generation","21","Installed capacity","6","Electricity generation","26","Electricity generation","","26","Electricity generation","254","Installed capacity","70","Electricity generation","288","Installed capacity","130","Electricity generation","0","Installed capacity","0","Electricity generation","331","Installed capacity","355","Electricity generation","924","terawatt-hour","Installed capacity","gigawatt","562","Sum over all energy sources (photovoltaics, onshore wind energy, etc. and other). For electricity generation also the net import is included (difference of import and export)."
"Wasserstoff-Roadmap Nordrhein-Westfalen","all sources, net import, import, others, geothermics, hydropower, bioenergy, offshore wind power, onshore wind power, photovoltaics","Scenario","95% CO2 reduction until 2050","95","percent","CO2 reduction","2050","Electricity generation","18","Installed capacity","8.2","Electricity generation","0","Installed capacity","0","Electricity generation","24","Installed capacity","5.6","Electricity generation","0","Electricity generation","","0","Electricity generation","277","Installed capacity","60","Electricity generation","375","Installed capacity","199","Electricity generation","0","Installed capacity","0","Electricity generation","236","Installed capacity","211","Electricity generation","930","terawatt-hour","Installed capacity","gigawatt","483.8","Sum over all energy sources (photovoltaics, onshore wind energy, etc. and other). For electricity generation also the net import is included (difference of import and export)."
"Wege zu einem klimaneutralen Energiesystem","all sources, net import, import, others, geothermics, hydropower, bioenergy, offshore wind power, onshore wind power, photovoltaics","Referenzszenario","95% CO2 reduction until 2050","95","percent","CO2 reduction","2050","Electricity generation","0","Installed capacity","0","Electricity generation","0","Installed capacity","0","Electricity generation","0","Installed capacity","0","Electricity generation","0","Electricity generation","","0","Electricity generation","367","Installed capacity","74","Electricity generation","492","Installed capacity","190","Electricity generation","154","Installed capacity","160","Electricity generation","425","Installed capacity","415","Electricity generation","1438","terawatt-hour","Installed capacity","gigawatt","839","Sum over all energy sources (photovoltaics, onshore wind energy, etc. and other). For electricity generation also the net import is included (difference of import and export)."
"Wege für die Energiewende","all sources, net import, import, others, geothermics, hydropower, bioenergy, offshore wind power, onshore wind power, photovoltaics","Szenario 95","95% CO2 reduction until 2050","95","percent","CO2 reduction","2050","Electricity generation","26","Installed capacity","6.8","Electricity generation","0","Installed capacity","0","Electricity generation","24","Installed capacity","3","Electricity generation","0","Electricity generation","","0","Electricity generation","154","Installed capacity","33.47","Electricity generation","543","Installed capacity","231","Electricity generation","0","Installed capacity","0","Electricity generation","193","Installed capacity","166","Electricity generation","940","terawatt-hour","Installed capacity","gigawatt","440.27","Sum over all energy sources (photovoltaics, onshore wind energy, etc. and other). For electricity generation also the net import is included (difference of import and export)."
"Den Weg zu einem treibhausgasneutralen Deutschland ressourcenschonend gestalten","all sources, net import, import, others, geothermics, hydropower, bioenergy, offshore wind power, onshore wind power, photovoltaics","GreenEe","95% CO2 reduction until 2050","95","percent","CO2 reduction","2050","Electricity generation","0","Installed capacity","0","Electricity generation","0","Installed capacity","0","Electricity generation","27","Installed capacity","17","Electricity generation","0","Electricity generation","","0","Electricity generation","143","Installed capacity","34","Electricity generation","414","Installed capacity","130","Electricity generation","50","Installed capacity","15","Electricity generation","181","Installed capacity","174","Electricity generation","815","terawatt-hour","Installed capacity","gigawatt","370","Sum over all energy sources (photovoltaics, onshore wind energy, etc. and other). For electricity generation also the net import is included (difference of import and export)."
"dena-Leitstudie Integrierte Energiewende","all sources, net import, import, others, geothermics, hydropower, bioenergy, offshore wind power, onshore wind power, photovoltaics","TM95","95% CO2 reduction until 2050","95","percent","CO2 reduction","2050","Electricity generation","49","Installed capacity","10","Electricity generation","0","Installed capacity","0","Electricity generation","24","Installed capacity","5","Electricity generation","0","Electricity generation","","0","Electricity generation","110","Installed capacity","27","Electricity generation","471","Installed capacity","171","Electricity generation","0","Installed capacity","0","Electricity generation","116","Installed capacity","114","Electricity generation","770","terawatt-hour","Installed capacity","gigawatt","327","Sum over all energy sources (photovoltaics, onshore wind energy, etc. and other). For electricity generation also the net import is included (difference of import and export)."
"Kosteneffiziente Sektorenkopplung","all sources, net import, import, others, geothermics, hydropower, bioenergy, offshore wind power, onshore wind power, photovoltaics","Technologieoffen","80% CO2 reduction until 2050","80","percent","CO2 reduction","2050","Electricity generation","45.84","Installed capacity","8","Electricity generation","0","Installed capacity","0","Electricity generation","18.82","Installed capacity","5","Electricity generation","0","Electricity generation","","0","Electricity generation","54","Installed capacity","15","Electricity generation","351","Installed capacity","169","Electricity generation","0","Installed capacity","0","Electricity generation","147","Installed capacity","144","Electricity generation","616.7","terawatt-hour","Installed capacity","gigawatt","341","Sum over all energy sources (photovoltaics, onshore wind energy, etc. and other). For electricity generation also the net import is included (difference of import and export)."
"Kosteneffiziente Sektorenkopplung","all sources, net import, import, others, geothermics, hydropower, bioenergy, offshore wind power, onshore wind power, photovoltaics","Elektrifizierung Endenergieverbrauch","80% CO2 reduction until 2050","80","percent","CO2 reduction","2050","Electricity generation","45.84","Installed capacity","8","Electricity generation","0","Installed capacity","0","Electricity generation","18.82","Installed capacity","5","Electricity generation","0","Electricity generation","","0","Electricity generation","58","Installed capacity","16","Electricity generation","373","Installed capacity","179","Electricity generation","0","Installed capacity","0","Electricity generation","180","Installed capacity","177","Electricity generation","675.7","terawatt-hour","Installed capacity","gigawatt","385","Sum over all energy sources (photovoltaics, onshore wind energy, etc. and other). For electricity generation also the net import is included (difference of import and export)."
"Kosteneffiziente Sektorenkopplung","all sources, net import, import, others, geothermics, hydropower, bioenergy, offshore wind power, onshore wind power, photovoltaics","Referenzszenario","Goal unknown","","","","2050","Electricity generation","45.84","Installed capacity","8","Electricity generation","0","Installed capacity","0","Electricity generation","18.82","Installed capacity","5","Electricity generation","0","Electricity generation","","0","Electricity generation","54","Installed capacity","15","Electricity generation","318","Installed capacity","151","Electricity generation","0","Installed capacity","0","Electricity generation","100","Installed capacity","102","Electricity generation","536.7","terawatt-hour","Installed capacity","gigawatt","281","Sum over all energy sources (photovoltaics, onshore wind energy, etc. and other). For electricity generation also the net import is included (difference of import and export)."
"Klimapfade für Deutschland","all sources, net import, import, others, geothermics, hydropower, bioenergy, offshore wind power, onshore wind power, photovoltaics","G95","95% CO2 reduction until 2050","95","percent","CO2 reduction","2050","Electricity generation","27","Installed capacity","7","Electricity generation","0","Installed capacity","0","Electricity generation","21","Installed capacity","7","Electricity generation","0","Electricity generation","","0","Electricity generation","258","Installed capacity","60","Electricity generation","215","Installed capacity","102","Electricity generation","76","Installed capacity","80","Electricity generation","114","Installed capacity","130","Electricity generation","711","terawatt-hour","Installed capacity","gigawatt","386","Sum over all energy sources (photovoltaics, onshore wind energy, etc. and other). For electricity generation also the net import is included (difference of import and export)."
