"Title","has research problem","type of cyclodextrin","uses drug","produces","produces/cd-acetazolamide complex/decreases","produces/cd-acetazolamide complex/increases","produces/cd-cyclosporine a complex/does not cause","produces/cd-cyclosporine a complex/increases","produces/cd-dexamethasone complex/increases","produces/cd-dorzolamide complex/increases","produces/cd-hydrocortisone complex/increases","produces/cd-pilocarpine complex/increases","produces/cyclodextrin solution/does not cause","produces/cd-buserelin complex/increases","produces/cd-deferoxamine complex/increases","produces/cd-disoxaril complex/increases","produces/cd-17β-estradiol/increases","produces/cd-insulin/increases","produces/cd-midazolam/increases","produces/cd-prostaglandin e1/increases","produces/cd- budesonide/increases","produces/cd- insulin complex/increases","produces/cd-insulin complex/increases","produces/cd- recombinant human growth hormone/increases","produces/cd- rifampicin complex/increases","produces/cd-salmon calictonin/increases","produces/cd-voriconazole/increases"
"Cyclodextrins in acetazolamide eye drop formulations","Ocular drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Trimethyl-beta-cyclodextrin (TM-β-CD), Dimethyl-beta-cyclodextrin (DM-β-CD), Beta-cyclodextrin (βCD)","Acetazolamide","CD-Acetazolamide complex","Intraocular pressure","Acetazolamide action duration, Acetazolamide ocular bioavailability","","","","","","","","","","","","","","","","","","","","",""
"Topically effective ocular hypotensive acetazolamide and ethoxyzolamide formulations in rabbits","Ocular drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","2-hydroxypropyl-β-cyclodextrin (HP-β-CD) ","Acetazolamide","CD-Acetazolamide complex","Intraocular pressure","Acetazolamide ocular bioavailability","","","","","","","","","","","","","","","","","","","","",""
"Development of a cyclodextrin-based aqueous cyclosporin A eye drop formulations","Ocular drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","ɣ-Cyclodextrin (ɣ-CD), ⍺-Cyclodextrin (⍺-CD)","Cyclosporine A","CD-Cyclosporine A complex","","","Ocular irritation","Cyclosporine A solubility","","","","","","","","","","","","","","","","","","",""
"Cyclodextrins in eye drop formulations: enhanced topical delivery of corticosteroids to the eye: Acta
 Ophthalmologica
 Scandinavica
 2002","Ocular drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","2-hydroxypropyl-β-cyclodextrin (HP-β-CD) ","Dexamethasone","CD-Dexamethasone complex","","","","","Ocular bioavailability","","","","","","","","","","","","","","","","","",""
"Topical and systemic absorption in delivery of dexamethasone to the anterior and posterior segments of the eye","Ocular drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Randomly methylated-β-Cyclodextrin (RMβCD)","Dexamethasone","CD-Dexamethasone complex","","","","","Ocular bioavailability","","","","","","","","","","","","","","","","","",""
"Comparison of topical 0.7% dexamethasone–cyclodextrin with 0.1% dexamethasone sodium phosphate for postcataract inflammation","Ocular drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","2-hydroxypropyl-β-cyclodextrin (HP-β-CD) ","Dexamethasone","CD-Dexamethasone complex","","","","","Ocular bioavailability","","","","","","","","","","","","","","","","","",""
"Topical drug delivery to the posterior segment of the eye: anatomical and physiological considerations","Ocular drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Randomly methylated-β-Cyclodextrin (RMβCD)","Dorzolamide","CD-Dorzolamide complex","","","","","","Dorzolamide permeation, Dorzolamide solubility","","","","","","","","","","","","","","","","",""
"Cyclodextrin solubilization of carbonic anhydrase inhibitor drugs: Formulation of dorzolamide eye drop microparticle suspension","Ocular drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","ɣ-Cyclodextrin (ɣ-CD)","Dorzolamide","CD-Dorzolamide complex","","","","","","Ocular bioavailability","","","","","","","","","","","","","","","","",""
"Considerations in the use of hydroxypropyl-Î²-cyclodextrin in the formulation of aqueous ophthalmic solutions of hydrocortisone","Ocular drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","2-hydroxypropyl-β-cyclodextrin (HP-β-CD) ","Hydrocortisone","CD-Hydrocortisone complex","","","","","","","Ocular bioavailability","","","","","","","","","","","","","","","",""
"Current Ocular Drug Delivery Challenges for N-acetylcarnosine: Novel Patented Routes and Modes of Delivery, Design for Enhancement of Therapeutic Activity and Drug Delivery Relationships","Ocular drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","⍺-Cyclodextrin (⍺-CD)","Pilocarpine","CD-Pilocarpine complex","","","","","","","","Pilocarpine permeation","","","","","","","","","","","","","","",""
"Influence of Hydroxypropyl β-Cyclodextrin on the Corneal Permeation of Pilocarpine","Ocular drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","2-hydroxypropyl-β-cyclodextrin (HP-β-CD) ","Pilocarpine","CD-Pilocarpine complex","","","","","","","","Miotic response","","","","","","","","","","","","","","",""
"The effects of water-soluble cyclodextrins on the histological integrity of the rat nasal mucosa","Nasal drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Randomly methylated-β-Cyclodextrin (RMβCD), 2-hydroxypropyl-β-cyclodextrin (HP-β-CD) , Beta-cyclodextrin (βCD)","No drug","cyclodextrin solution","","","","","","","","","Nasal mucosal Damage","","","","","","","","","","","","","",""
"Improvement of Nasal Bioavailability of Luteinizing Hormone-Releasing Hormone Agonist, Buserelin, by Cyclodextrin Derivatives in Rats","Nasal drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Dimethyl-beta-cyclodextrin (DM-β-CD)","Buserelin ","CD-Buserelin complex","","","","","","","","","","Nasal bioavailability","","","","","","","","","","","","",""
"Hypocalcemic effect of salmon calcitonin following single and repeated nasal and intravenous administration in young rabbits","Nasal drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Trimethyl-beta-cyclodextrin (TM-β-CD), Randomly methylated-β-Cyclodextrin (RMβCD), Dimethyl-beta-cyclodextrin (DM-β-CD)","Buserelin ","CD-Buserelin complex","","","","","","","","","","Nasal bioavailability","","","","","","","","","","","","",""
"Solid microparticles based on chitosan or methyl-β-cyclodextrin: A first formulative approach to increase the nose-to-brain transport of deferoxamine mesylate","Nasal drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Randomly methylated-β-Cyclodextrin (RMβCD)","Deferoxamine ","CD-Deferoxamine complex","","","","","","","","","","","nose to brain uptake of drug","","","","","","","","","","","",""
"Physico-chemical characterization of disoxaril–dimethyl-β-cyclodextrin inclusion complex and in vitro permeation studies","Nasal drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Dimethyl-beta-cyclodextrin (DM-β-CD)","Disoxaril","CD-Disoxaril complex","","","","","","","","","","","","Disoxaril solubility","","","","","","","","","","",""
"Nasal Absorption Enhancement of 17β-Estradiol by Dimethyl-β-Cyclodextrin in Rabbits and Rats","Nasal drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Dimethyl-beta-cyclodextrin (DM-β-CD)","17β-Estradiol	","CD-17β-Estradiol","","","","","","","","","","","","","the absoption of the drug","","","","","","","","","",""
"Absorption Enhancing Effect of Cyclodextrins on Intranasally Administered Insulin in Rats","Nasal drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Dimethyl-beta-cyclodextrin (DM-β-CD), 2-hydroxypropyl-β-cyclodextrin (HP-β-CD) , ɣ-Cyclodextrin (ɣ-CD), Beta-cyclodextrin (βCD), ⍺-Cyclodextrin (⍺-CD)","Insulin","CD-Insulin","","","","","","","","","","","","","","Nasal bioavailability","","","","","","","","",""
