"Title","catalyst","conv (%)","has research problem","P (MPa)","selectivity (%)","substrate","T (°C)"
"Beyond the use of modifiers in selective alkyne hydrogenation: silver and gold nanocatalysts in flow mode for sustainable alkene production","Ag/SiO2","30","Selective Hydrogenation over Supported Metal Catalysts","10.0","100","phenylacetylene","100.0"
"Beyond the use of modifiers in selective alkyne hydrogenation: silver and gold nanocatalysts in flow mode for sustainable alkene production","Au/TiO2","30","Selective Hydrogenation over Supported Metal Catalysts","10.0","96","phenylacetylene","100.0"
"One-step Synthesis of Core-Gold/Shell- Ceria Nanomaterial and Its Catalysis for Highly Selective Semi- hydrogenation of Alkynes","Au@CeO2","99","Selective Hydrogenation over Supported Metal Catalysts","3.0","99","phenylacetylene","25.0"
"Green, Multi-Gram One-Step Synthesis of Core-Shell Nanocomposites in Water and Their Catalytic Application to Chemoselective Hydrogenations","Au@CeO2/HT","99","Selective Hydrogenation over Supported Metal Catalysts","3.0",">99","phenylacetylene","120.0"
"Pd-Pb Alloy Nanocrystals with Tailored Composition for Semihydrogenation: Taking Advantage of Catalyst Poisoning","Pd−Pb NCs","96","Selective Hydrogenation over Supported Metal Catalysts","0.1","96","diphenylacetylene","25.0"
"Pd-Pb Alloy Nanocrystals with Tailored Composition for Semihydrogenation: Taking Advantage of Catalyst Poisoning","Pd−Pb NCs","100","Selective Hydrogenation over Supported Metal Catalysts","0.1","99.4","1-decyne","25.0"
"Selective Hydrogenation of Polyunsaturated Fatty Acids Using Alkanethiol Self-Assembled Monolayer-Coated Pd/Al2O3 Catalysts","Pd/Al2O3-thiolate",">70","Selective Hydrogenation over Supported Metal Catalysts","0.6","80−90","18-carbon polyunsaturated fatty acids","30.0"
"Selective ensembles in supported palladium sulfide nanoparticles for alkyne semi-hydrogenation","Pd3S/C3N4","","Selective Hydrogenation over Supported Metal Catalysts","0.1","100","2-methyl-3-butyn-2-ol","30.0"
"Metal-Ligand Core-Shell Nanocomposite Catalysts for the Selective Semihydrogenation of Alkynes","Pd@MPSO/SiO2","99","Selective Hydrogenation over Supported Metal Catalysts","0.1","98","1-phenyl-1-propyne","30.0"
"Dual Pd and CuFe2O4 nanoparticles encapsulated in a core/shell silica microsphere for selective hydrogenation of arylacetylenes","SiO2@CuFe2O4-Pd","98","Selective Hydrogenation over Supported Metal Catalysts","0.1","98","phenylacetylene",""
"A Pd- Cu2O nanocomposite as an effective synergistic catalyst for selective semi-hydrogenation of the terminal alkynes only","Pd/Cu2O","99","Selective Hydrogenation over Supported Metal Catalysts","0.1","98","phenylacetylene","30.0"
"Selective Semihydrogenation of Alkynes Catalyzed by Pd Nanoparticles Immobilized on Heteroatom-Doped Hierarchical Porous Carbon Derived from Bamboo Shoots","Pd/N,O-carbon","99","Selective Hydrogenation over Supported Metal Catalysts","0.1","97","phenylacetylene","25.0"
"Palladium nanoparticles supported on mpg-C3N4 as active catalyst for semihydrogenation of phenylacetylene under mild conditions","Pd@mpg-C3N4","100","Selective Hydrogenation over Supported Metal Catalysts","0.1","94","phenylacetylene","30.0"
"Interstitial modification of palladium nanoparticles with boron atoms as a green catalyst for selective hydrogenation","Pd-intB/C","","Selective Hydrogenation over Supported Metal Catalysts","0.3","98","3-hexyn-1-ol","30.0"
"Design of Core-Pd/Shell-Ag Nanocomposite Catalyst for Selective Semihydrogenation of Alkynes","Pd@Ag/HAP","99","Selective Hydrogenation over Supported Metal Catalysts","0.1","99","1-octyne","25.0"
"Achieving the Trade-Off between Selectivity and Activity in Semihydrogenation of Alkynes by Fabrication of (Asymmetrical Pd@Ag Core)@(CeO2 Shell) Nanocatalysts via Autoredox Reaction","Pd@Ag@CeO2-1.5","98","Selective Hydrogenation over Supported Metal Catalysts","1.5","99","phenylacetylene","40.0"
"Formation and Characterization of PdZn Alloy: A Very Selective Catalyst for Alkyne Semihydrogenation","Pd/ZnO","41","Selective Hydrogenation over Supported Metal Catalysts","0.1","87","H2/1-pentyne4","100.0"
"Design of a difunctional Zn- Ti LDHs supported PdAu catalyst for selective hydrogenation of phenylacetylene","Pd5Au5/ZnTi","100","Selective Hydrogenation over Supported Metal Catalysts","0.1","92.5","phenylacetylene","45.0"
"Palladium–gold single atom alloy catalysts for liquid phase selective hydrogenation of 1-hexyne","PdAu-SAA/SiO2","100","Selective Hydrogenation over Supported Metal Catalysts","0.5","85","1-hexyne","25.0"
"Single atom alloy surface analogs in Pd0.18Cu15 nanoparticles for selective hydrogenation reactions","Pd0.18Cu15/Al2O3","90","Selective Hydrogenation over Supported Metal Catalysts","0.69","94","phenylacetylene","25.0"
"A stable single-site palladium catalyst for hydrogenations","[Pd]mpg-C3N4","","Selective Hydrogenation over Supported Metal Catalysts","0.5","90","1-hexyne","70.0"
"Merging Single-Atom-Dispersed Silver and Carbon Nitride to a Joint Electronic System via Copolymerization with Silver Tricyanomethanide","AgTCM-mpg-CN","","Selective Hydrogenation over Supported Metal Catalysts","1.0","100","1-hexyne","30.0"
