"Title","Disease","has research problem","N (% abnormal) with abnormal chromosome","N (%) with abnormal karyotype","Number of patients studied"
"Cytogenetic abnormalities and their prognostic significance in idiopathic myelo- fibrosis: a study of 106 cases","PMF","Chromosome 1 abnormalities","10 (27%)","37 (35%)","106"
"Conventional cyto- genetics in myelofibrosis: literature review and discussion","","Chromosome 1 abnormalities","10 (28%)","36 (33%)","109"
"Exploring polycythaemia vera with fluorescence in situ hybridization: additional cryptic 9p is the most frequent abnormality detected","PV","Chromosome 1 abnormalities","7 (13.4%)","52 (25%)","204"
"Cyto- genetic studies at diagnosis in polycythemia vera: clinical and JAK2V617F allele burden correlates","","Chromosome 1 abnormalities","4 (27%)","15 (13%)","117"
"Cytogenetic abnormalities in essential thrombocythemia: prevalence and prognostic significance","ET","Chromosome 1 abnormalities","5 (18%)","28 (7%)","402"
"Cytogenetic abnormalities in essential thrombocythemia at presentation and transformation","","Chromosome 1 abnormalities","0","12 (7%)","172"
"Karyotypic abnorma- lities in myelofibrosis following polycythemia vera","Post-PV MF","Chromosome 1 abnormalities","19 (70%)","27 (90%)","30"
"Cytogenetic findings and their clinical relevance in myelofibrosis with myeloid metaplasia","","Chromosome 1 abnormalities","6 (33%)","18 (62%)","29"
"Cytogenetic findings and their clinical relevance in myelofibrosis with myeloid metaplasia","Post-ET MF","Chromosome 1 abnormalities","0","10 (42%)","24"
"The importance of diagnostic cytogenetics on outcome in AML: analysis of 1,612 patients entered into the MRC AML 10 trial","AML","Chromosome 1 abnormalities","2 (0.2%)","932 (57%)","1612"
"New insights into the prognostic impact of the karyotype in MDS and correlation with subtypes: evidence from a core dataset of 2124 patients","MDS","Chromosome 1 abnormalities","33 (3%)","1084 (52%)","2072"
"Chromosomal abnormalities in Philadelphia chromosome negative metaphases appearing during imatinib mesylate therapy in patients with newly diagnosed chronic myeloid leukemia in chronic phase","CML","Chromosome 1 abnormalities","0","21 (9%)","258"
"Cytogenetic abnormalities in adult acute lymphoblastic leukemia: correlations with hematologic findings outcome A Collaborative Study of the Group Francais de Cyto- genetique Hematologique","All","Chromosome 1 abnormalities, acute lymphoblastic leukemia (ALL)","11 (3%)","378 (85%)","443"
"Chromosomal abnormalities in untreated patients with non-Hodgkin’s lymphoma: associations with histology, clinical characteristics, and treatment outcome. The Nebraska Lymphoma Study Group","NHL","Chromosome 1 abnormalities","9 (9%)","104 (85%)","123"
"Cytogenetic studies in untreated Hodgkin's disease","Hodgkin’s","Chromosome 1 abnormalities","20 (61%)","33 (55%)","60"
"Prognos- tic and biologic significance of chromosomal imbalances assessed by comparative genomic hybridization in multiple myeloma","Myeloma","Chromosome 1 abnormalities","23 (45%)","51 (69%)","74"
"Abnormalities of chromosome 1p ⁄ q are highly associated with chromosome 13 ⁄ 13q deletions and are an adverse prognostic factor for the outcome of high-dose chemotherapy in patients with multiple myeloma","","Chromosome 1 abnormalities","27 (50%)","53 (39%)","137"
"In B-cell chronic lymphocytic leukaemia chromosome 17 abnormal- ities and not trisomy 12 are the single most important cytogenetic abnormalities for the prognosis: a cytogenetic and immunophenotypic study of 480 unselected newly diagnosed patients","CLL","Chromosome 1 abnormalities","10 (7%)","135 (28%)","480"
