"Title","has name","Has prognostic atmosphere model variable"
"Evaluation of the carbon cycle components in the Norwegian Earth System Model (NorESM)","NORESM1-ME","Other, Potential temperature, Surface pressure, Vapour/solid/liquid, Wind components"
"Climate change projections using the IPSL-CM5 Earth System Model: from CMIP3 to CMIP5","IPSL-CM5A-LR","Potential temperature, Total water moments"
"INGV-CMCC Carbon (ICC): A Carbon Cycle Earth System Model","CMCC-CESM","Clouds, Divergence/curl, Surface pressure, Temperature, Vapour/solid/liquid, Wind components"
"Climate Simulations Using MRI-AGCM3.2 with 20-km Grid","MRI-AGCM3.2S","Clouds, Surface pressure, Temperature, Total water, Wind components"
"The atmospheric general circulation model ECHAM6 - Model description","MPI-ESM-LR","Cloud ice, Cloud liquid water, Divergence/curl, Other, Surface pressure, Temperature, Vorticity, Water vapour"
"Simulating present-day climate with the INMCM4.0 coupled model of the atmospheric and oceanic general circulations","INM-CM4","Surface pressure, Temperature, Total water, Wind components"
"Development and evaluation of an Earth-System model – HadGEM2","HADGEM2-A","Clouds, Potential temperature, Vapour/solid/liquid, Wind components"
"Present-Day Atmospheric Simulations Using GISS ModelE: Comparison to In Situ, Satellite, and Reanalysis Data","GISS-E2-R","Potential temperature, Surface pressure, Total water, Total water moments, Wind components"
"Present-Day Atmospheric Simulations Using GISS ModelE: Comparison to In Situ, Satellite, and Reanalysis Data","GISS-E2-H","Potential temperature, Surface pressure, Total water, Total water moments, Wind components"
"GFDL’s ESM2 Global Coupled Climate–Carbon Earth System Models. Part I: Physical Formulation and Baseline Simulation Characteristics","GFDL-ESM2G","Clouds, Potential temperature, Surface pressure, Vapour/solid/liquid, Wind components"
"The CSIRO Mk3.5 Climate Model","CSIRO-MK3.6.0","Divergence/curl, Potential temperature, Surface pressure, Temperature, Total water, Vapour/solid/liquid, Wind components"
"A Modified Dynamic Framework for the Atmospheric Spectral Model and Its Application","BCC-CSM1.1","Divergence/curl, Surface pressure, Temperature, Vapour/solid/liquid"
"The ACCESS coupled model: description, control climate and evaluation","ACCESS1.0","Clouds, Potential temperature, Vapour/solid/liquid, Wind components"
"The NCEP Climate Forecast System Reanalysis","CFSV2-2011","Surface pressure, Temperature, Vapour/solid/liquid, Wind components"
