"Title","has research problem","has target","has toxin"
"Pseudomonas","bacterial toxins","","Coronatine"
"Pseudomonas","bacterial toxins","Glutamine synthetase","Tabtoxinine beta-lactam"
"Pseudomonas","bacterial toxins","Glutamine synthetase","Tabtoxinine beta-lactam"
"Pseudomonas","bacterial toxins","","Coronatine, Polysaccharide"
"Pseudomonas","bacterial toxins","","Polysaccharide"
"Pseudomonas","bacterial toxins","","Coronatine"
"Pseudomonas","bacterial toxins","","Coronatine"
"Pseudomonas","bacterial toxins","Ornithine transcarbamylase","Phaseolotoxin"
"Pseudomonas","bacterial toxins","","Cytokinin, indole acetate"
"Pseudomonas","bacterial toxins","Plasma membrane","Syringomycin, Syringopeptin, Syringotoxin"
"Pseudomonas","bacterial toxins","Glutamine synthetase","Tabtoxinine beta-lactam"
"Pseudomonas","bacterial toxins","Chloroplastic RNA polymerase","Tagetitoxin"
"Pseudomonas","bacterial toxins","","Coronatine"
"Pseudomonas","bacterial toxins","Plasma membrane","Tolaasin"
