"Title","has research problem","application","year","location","metal used","nuclearity","homo or heterometallic complex","ligand"
"Multinuclear rare-earth metal complexes supported by chalcogen-based 1,2,3-triazole","Rare-earth complexes and their application","Polimerization","2017","Mexico","Y, Nd, Sm, Gd","M3","Homometallic","Chalcogen based 1,2,3-triazole"
"Multinuclear Lanthanide-Implanted Tetrameric Dawson-Type Phosphotungstates with Switchable Luminescence Behaviors Induced by Fast Photochromism","Rare-earth complexes and their application","Luminescence behavior","2021","China","Sm, Eu, Gd","M","Homometallic","Phosphonates"
"Synthesis of heterometallic chalcogenides containing lanthanide and group 13–15 metal elements","Rare-earth complexes and their applications","Structural study","2016","China","Eu","M4","Heterometallic","Polychalcogenide salt"
"Synthesis, Structure, and Reactivity of Monoguanidinate Rare-Earth Metal Aminobenzyl Enolate Complexes: Synthesis, Structure, and Reactivity of Monoguanidinate Rare-Earth Metal Aminobenzyl Enolate Complexes","Rare-earth complexes and their applications","Ring-opening polimerization","2020","China","Y","M2","Homometallic","Monoguanidinate, aminobenzyl enolate"
"Rare-earth metal complexes of β-diketiminato ligands bearing pendant nitrogen or oxygen donors","Rare-earth complexes and their applications","Structural study","2017","China","Y, Sc","M2","Homometallic","b-diketiminate"
"Mixed Methyl Aryloxy Rare-Earth-Metal Complexes Stabilized by a Superbulky Tris(pyrazolyl)borato Ligand","Rare-earth complexes and their applications","Structural study","2019","Germany","Y, Lu","M","Homometallic","Tris(pirazolyl)borate"
"Anilido-oxazoline-ligated rare-earth metal complexes: synthesis, characterization and highly cis-1,4-selective polymerization of isoprene","Rare-earth complexes and their applications","Isoprene polimerization","2019","China","Y, Sc","M","Homometallic","Anilido-oxazoline"
"White-light emission from discrete heterometallic lanthanide-directed self-assembled complexes in solution","Rare-earth complexes and their applications","White-light emitting material","2017","Ireland","Eu, Tb","M3","Heterometallic","Dipicolinate"
"A structural and spectroscopic overview of molecular lanthanide complexes with fluorinated O-donor ligands","Rare-earth complexes and their applications","Structural study","2019","United States of America","Nd, Sm, Gd, Tb, Er","M3","Homometallic","Fuorinated ligand"
"Access to divalent lanthanide NHC complexes by redox-transmetallation from silver and CO2 insertion reactions","Rare-earth complexes and their applications","CO2 insertion reactions","2019","Germany","Eu, Yb","M","Homometallic","Carbenes"
