"Title","biogeographical region","class (taxonomy - biology)","dna sequencing method","geographic scale (km²)","has research problem","higher number estimated species","higher number estimated species (method)","locus (genetics)","lower number estimated species","lower number estimated species (method)","maximum intraspecific distances averaged","maximum intraspecific distances lower limit","maximum intraspecific distances upper limit","nearest neighbor distance averaged","nearest neighbor distance lower limit","nearest neighbor distance upper limit","no. of estimated species","no. of estimated species (method)","no. of potential undescribed species","no. of samples (sequences)","number of identified species with current taxonomy","order (taxonomy - biology)","phylum (biology)","studied taxonomic group (biology)","study location","study location/germany/same as"
"Analyzing Mosquito (Diptera: Culicidae) Diversity in Pakistan by DNA Barcoding","Palearctic","Insecta","Sanger sequencing","300000 $$Km^2$$","Biodiversity inventories with DNA based-tools","32","BINs","Mitochondrial cytochrome C oxidase I (COI)","21","current taxonomy","0.04","0","2.4","8.1","2.3","17.8","32","","4","1684","21","Diptera","Arthropoda","Culicidae","Pakistan",""
"A DNA barcode library for 5,200 German flies and midges (Insecta: Diptera) and its implications for metabarcoding‐based biomonitoring","Palearctic","Insecta","Sanger sequencing","357000 $$Km^2$$","Biodiversity inventories with DNA based-tools","5153","BINs","Mitochondrial cytochrome C oxidase I (COI)","2453","current taxonomy","0.40","0","9.95","7.64","0","39.91","2576","NJ clustering","2700","45040","2453","","Arthropoda","Diptera","Germany","https://sws.geonames.org/2921044/"
"DNA barcoding of Northern Nearctic Muscidae (Diptera) reveals high correspondence between morphological and molecular species limits","Nearctic","Insecta","Sanger sequencing","650000 $$Km²$$","Biodiversity inventories with DNA based-tools","160","current taxonomy","Mitochondrial cytochrome C oxidase I (COI)","144","threshold 1.2%","0.48","0","4.24","4.72","0.77","11.33","160","","0","1114","160","Diptera","Arthopoda","Muscidae","Canada",""
"Species-Level Para- and Polyphyly in DNA Barcode Gene Trees: Strong Operational Bias in European Lepidoptera","Palearctic","Insecta","Sanger sequencing","10000000 $$Km²$$","Biodiversity inventories with DNA based-tools","5047","NJ clustering","Mitochondrial cytochrome C oxidase I (COI)","4977","","0.99","0","3.26","5.66","0","14.0","4977","current taxonomy","70","41583","4977","","Arthropoda","Lepidoptera","Italy, Finland, Greece, Scotland, France, Germany, Norway, England, Russian Federation, Spain, Portugal","https://sws.geonames.org/2921044/"
"DNA barcodes distinguish species of tropical Lepidoptera","Neotropical","Insecta","Sanger sequencing","10000 $$Km²$$","Biodiversity inventories with DNA based-tools","534","Barcoding gap","Mitochondrial cytochrome C oxidase I (COI)","511","NJ clustering","0.46","0","14.8","6.02","0.17","15.0","521","current taxonomy","13","4260","521","Lepidoptera","Arthropoda","Macroheterocera","Costa Rica",""
"High resolution DNA barcode library for European butterflies reveals continental patterns of mitochondrial genetic diversity","Palearctic","Insecta","Sanger sequencing","10000000 $$Km²$$","Biodiversity inventories with DNA based-tools","459","","Mitochondrial cytochrome C oxidase I (COI)","441","BINs","1.19","0","7.87","2.70","0","9.97","459","PROTAX","0","22306","459","Lepidoptera","Arthropoda","Papilionoidea","Switzerland, France, Germany, Norway, Scotland, Greece, Italy, Spain, Portugal, Russian Federation","https://sws.geonames.org/2921044/"
"Congruence between morphology-based species and Barcode Index Numbers (BINs) in Neotropical Eumaeini (Lycaenidae)","Neotropical","Insecta","Sanger sequencing","20000000 $$Km²$$","Biodiversity inventories with DNA based-tools","556","","Mitochondrial cytochrome C oxidase I (COI)","512","Morphological idientification","1.2","0","8.4","4.89","0.40","12.21","556","BINs","44","1839","512","Lepidoptera","Arthropoda","Eumaeini","Paraguay, Costa Rica, Colombia, Venezuela, French Guiana, Ecuador, Peru, Bolivia, Brazil",""
"Probing planetary biodiversity with DNA barcodes: The Noctuoidea of North America","Nearctic","Insecta","Sanger sequencing","25000000 $$Km²$$","Biodiversity inventories with DNA based-tools","3816","","Mitochondrial cytochrome C oxidase I (COI)","3561","Sharing barcodes","0.38","0","8.4","4.9","0","11.81","3816","BINs","251","69378","3565","Lepidoptera","Arthropoda","Noctuoidea","United States of America, Canada",""
"A DNA barcode library for the butterflies of North America","Nearctic","Insecta","Sanger sequencing","30000000 $$Km²$$","Biodiversity inventories with DNA based-tools","862","GMYC single locus","Mitochondrial cytochrome C oxidase I (COI)","772","BINs","0.97","0","8.4","3.7","0","14.3","814","current taxonomy","24","14626","814","Lepidoptera","Arthropoda","Papilionoidea","Mexico, Canada, United States of America",""
"Barcoding the butterflies of southern South America: Species delimitation efficacy, cryptic diversity and geographic patterns of divergence","Neotropical","Insecta","Sanger sequencing","1000000 $$Km²$$","Biodiversity inventories with DNA based-tools","444","ABGD recursive","Mitochondrial cytochrome C oxidase I (COI)","416","TCS","0.69","0","7.44","6.91","0","13.14","417","current taxonomy","28","2161","417","Lepidoptera","Arthropoda","Papilionoidea","Argentina",""
