"Title","Continent","Habitat","has research problem","hypothesis","Indicator for enemy release","Investigated species","Number of species","Release of which kind of enemies?","Research Method","stand of hypothesis","Study date","Sub-hypothesis","type of experiment","Which species are compared?"
"The invertebrate fauna on broom, Cytisus scoparius, in two native and two exotic habitats ","Europe, Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","Specialists","Observational or correlational","Supported","2000","HAIs","Field","Aliens in native and invaded range"
"A Comparison of Herbivore Damage on Three Invasive Plants and Their Native Congeners: Implications for the Enemy Release Hypothesis","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","3","no differentiation","Observational or correlational","Supported","2016","AND","Field","Aliens and natives"
"Can enemy release explain the invasion success of the diploid Leucanthemum vulgare in North America?","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2016","HAD","Field","Aliens in native and invaded range"
"Incorporation of an invasive plant into a native insect herbivore food web","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Undecided","2016","ANI","Field","Aliens and natives"
"Gyrodactylus spp. diversity in native and introduced minnow (Phoxinus phoxinus) populations: no support for "the enemy release" hypothesis","Europe","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Fishes","1","no differentiation","Observational or correlational","Undecided","2016","HAI","Field","Aliens in native and invaded range"
"Alien and native plant establishment in grassland communities is more strongly affected by disturbance than above- and below-ground enemies","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","10","no differentiation","Experiment","Questioned","2016","P AN","Enclosure","Aliens and natives"
"Herbivory and the success of Ligustrum lucidum: evidence from a comparison between native and novel ranges","Asia, South-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2016","AND","Field","Aliens in native and invaded range"
"A test of the enemy release hypothesis for plants in the Ecological-Botanical Gardens, Bayreuth, using data on plant parasitic microfungi","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","927","no differentiation","Observational or correlational","Supported","2016","ANI","Enclosure","Aliens and natives"
"Comparison of parasite diversity in native panopeid mud crabs and the invasive Asian shore crab in estuaries of northeast North America","North-America","Marine","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Crustaceans","1","no differentiation","Observational or correlational","Undecided","2016","ANI","Field","Aliens and natives"
"Stronger effect of gastropods than rodents on seedling establishment, irrespective of exotic or native plant species origin","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","17","Generalists","Experiment","Questioned","2016","P AN","Enclosure","Aliens and natives"
"Using a botanical garden to assess factors influencing the colonization of exotic woody plants by phyllophagous insects","Asia","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","116","no differentiation","Observational or correlational","Supported","2016","ANI","Enclosure","Aliens and natives"
"Using a botanical garden to assess factors influencing the colonization of exotic woody plants by phyllophagous insects","Asia","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","116","no differentiation","Observational or correlational","Supported","2016","AND","Enclosure","Aliens and natives"
"A case of complete loss of gill parasites in the invasive cichlid Oreochromis mossambicus","Africa, Oceania","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Fishes","1","no differentiation","Observational or correlational","Supported","2016","HAI","Field","Aliens in native and invaded range"
"Evidence for enemy release and increased seed production and size for two invasive Australian acacias","Europe, Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","2","no differentiation","Observational or correlational","Supported","2016","HAD","Field","Aliens in native and invaded range"
