"Title","has research problem","population","examined (sub-)group","has data","has location","has beginning","has end","compared time before the covid-19 pandemic","has sample size","has subject selection method","indicator for well-being","operationalisation of dependent variable","well-being: mean value before covid-19 pandemic","well-being: mean value during covid-19 pandemic","identification method","effect size","effect size - explanation","control variables"
"The Impact of the Coronavirus Lockdown on Mental Health: Evidence from the US","Effect of the COVID-19 pandemic on well-being","All adults","all","own survey , ","United States of America","2020-03-24","2020-04-11","N.A.","8003","Probability","Mental health","WHO 5-question module","N.A.","N.A.","Regression","-0.0850 ","-0.0850 SD ","Relationship, Education, Household income, Gender"
"Alleinlebende verkraften die Pandemie erstaunlich gut","Effect of the COVID-19 pandemic on well-being","All adults","people living alone","SOEP 2019, SOEP-CoV","Germany","2020-04-01","2020-06-28","2019","6694 ","Probability, ","Life satisfaction","11-point Likert scale ranging from 0 (not satisfied at all) to 10 (very satisfied)","7.09","7.35","N.A.","N.A.","N.A.","N.A."
" Psychische Krise durch Covid-19? Sorgen sinken, Einsamkeit steigt, Lebenszufriedenheit bleibt stabil","Effect of the COVID-19 pandemic on well-being","All adults","all","SOEP-CoV, SOEP 2019","Germany","2020-04-01","2020-06-28","2019","6694 ","Probability, ","Life satisfaction","11-point Likert scale ranging from 0 (not satisfied at all) to 10 (very satisfied)","7.43","7.41","N.A.","N.A.","N.A.","N.A."
"The gender gap in mental well-being during the Covid-19 outbreak: evidence from the UK","Effect of the COVID-19 pandemic on well-being","All adults","women","UK Household Longitudinal Survey","United Kingdom","2020-04-24","2020-04-30","2018","12252","Probability","Mental well-being, ","Likert index that sums 12 questions from the General Health Questionnaire (GHQ-12)","N.A.","N.A.","Regression","-0.14 ","-0.14 SD (relative to men)","Gender"
"Parental well-being in times of Covid-19 in Germany","Effect of the COVID-19 pandemic on well-being","All persons aged 18 or older who are eligible to vote in Germany","all","COMPASS 2020, SOEP 2018","Germany","2020-05-01","2020-07-01","2018","5764","Probability, ","Life satisfaction","11-point Likert scale ranging from 0 (not satisfied at all) to 10 (very satisfied)","7.36","6.9","Difference in differences","-0.33","-0.33 SD ","Occupation, Employment status, Gender, Education, Household income, Household size, State, Age"
"Who is most affected by the Corona crisis? An analysis of changes in stress and well-being in Switzerland","Effect of the COVID-19 pandemic on well-being","All adults","all","Swiss Household Panel","Switzerland","2020-05-12","2020-06-30","September 2019 - March 2020","5859","Probability, ","Life satisfaction","11-point Likert scale ranging from 0 ‘not at all satisfied’ to 10 ‘completely satisfied","N.A.","N.A.","Regression","-0.04 ","-0.04 SD","Survey mode, Nationality, Linguistic region"
"Up and About: Older Adults’ Well-being During the COVID-19 Pandemic in a Swedish Longitudinal Study","Effect of the COVID-19 pandemic on well-being","Older adults born 1949–1955","older adults","HEalth, Aging and Retirement Transitions in Sweden (HEARTS)","Sweden","2020-03-26","2020-04-02","2015-2019","1071","Probability, ","Life satisfaction","Life Satisfaction measured by 5 items, range 1-7","N.A.","N.A.","linear mixed-effects models","0.02 ","β= 0.02 SD","Retirement status, Education, Gender, Age"
"Employee psychological well-being during the COVID-19 pandemic in Germany: A longitudinal study of demands, resources, and exhaustion","Effect of the COVID-19 pandemic on well-being","German participants who work","all","own survey , ","Germany","2020-04-03","2020-06-30","N.A.","789","Non-probability ","Exhaustion","Copenhagen Burnout Inventory’s (CBI, Kristensen et al., 2005) subscale Personal Burnout","N.A.","N.A.","random-intercept and slope model (linear and quadratic effect of time on exhaustion)","-2.17","significant quadratic effect of study week on exhaustion, b= -2.17","Gender, Age"
"The COVID-19 pandemic and subjective well-being: longitudinal evidence on satisfaction with work and family","Effect of the COVID-19 pandemic on well-being","General population in Germany aged 16–75","all","German Internet Panel","Germany","2020-03-20","2020-06-10","September 2019","3600","Probability, ","Family satisfaction","11-point scale from 0 to 10 with 0 being ‘completely dissatisfied’ and 10 being ‘completely satisfied’","N.A.","N.A.","First-difference models","-0.64 ","-0.64 SD","Income change, Child birth, Relationship"
"Socioeconomic status and well-being during COVID-19: A resource-based examination.","Effect of the COVID-19 pandemic on well-being","Adults between ages 30 and 80, ","all","American Life Panel ","United States of America","2020-04-16","2020-04-19","April - June 2019","1143","Probability","Life satisfaction","10-point scale from 1 to 10 with 1 being ‘very dissatisfied’ and 10 being ‘very satisfied'","7.76","7.12","Latent change score model","-0.65","α= -0.65","Health status, Ethnicity, Gender, Age"
